idcar_200m,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,geometry,h3_index
CRS3035RES200mN2888400E3756000,1267.0,689.0,62.0,363.0,21.0,296.0,44.0,54830169.1,41456.0,677.0,12.0,219.0,121.0,210.0,137.0,2.0,42.0,55.0,15.5,55.0,77.5,88.0,329.0,210.0,163.0,204.0,70.0,0.0,"POLYGON ((2.288995 48.842435, 2.288716 48.844223, 2.291428 48.844411, 2.291707 48.842623, 2.288995 48.842435))",891fb4676bbffff
CRS3035RES200mN2888200E3756000,1608.5,800.0,80.0,357.0,35.0,369.0,72.0,68596754.8,49116.0,780.0,20.0,505.0,246.0,39.0,9.0,1.0,47.0,60.0,30.5,68.5,123.0,129.5,368.0,333.0,170.0,218.0,108.0,0.0,"POLYGON ((2.289274 48.840647, 2.288995 48.842435, 2.291707 48.842623, 2.291986 48.840835, 2.289274 48.840647))",891fb467617ffff
CRS3035RES200mN2888200E3756200,1223.5,673.0,67.0,374.0,28.0,280.0,28.0,52034344.7,37995.0,662.0,11.0,221.0,360.0,24.0,68.0,0.0,6.0,45.0,20.5,45.5,60.0,102.5,363.0,217.0,138.0,152.0,80.0,0.0,"POLYGON ((2.291986 48.840835, 2.291707 48.842623, 2.294419 48.842811, 2.294697 48.841023, 2.291986 48.840835))",891fb4676abffff
CRS3035RES200mN2888000E3756200,987.0,541.0,48.0,288.0,16.0,160.0,52.0,36889420.5,32137.0,536.0,5.0,262.0,140.0,53.0,86.0,0.0,247.0,37.5,16.0,36.5,73.5,60.5,185.0,200.0,131.0,169.0,78.0,0.0,"POLYGON ((2.292265 48.839048, 2.291986 48.840835, 2.294697 48.841023, 2.294976 48.839236, 2.292265 48.839048))",891fb4676abffff
CRS3035RES200mN2887800E3756200,1356.0,731.0,108.0,379.0,26.0,358.0,56.0,54368060.0,39930.0,719.0,12.0,387.0,58.0,24.0,262.0,0.0,64.0,53.5,15.0,69.5,76.0,100.0,328.0,239.0,178.0,200.0,90.0,7.0,"POLYGON ((2.292543 48.83726, 2.292265 48.839048, 2.294976 48.839236, 2.295255 48.837448, 2.292543 48.83726))",891fb467633ffff
CRS3035RES200mN2888000E3756000,2092.0,950.0,110.0,427.0,76.0,246.0,118.0,69685264.5,58991.0,949.0,1.0,94.0,105.0,60.0,690.0,1.0,539.0,68.5,42.0,114.5,185.0,193.0,416.0,430.0,283.0,266.0,91.0,3.0,"POLYGON ((2.289553 48.83886, 2.289274 48.840647, 2.291986 48.840835, 2.292265 48.839048, 2.289553 48.83886))",891fb467607ffff
CRS3035RES200mN2887800E3756000,1607.5,939.0,131.0,537.0,18.0,398.0,66.0,62388948.0,46098.0,932.0,7.0,610.0,91.0,148.0,90.0,0.0,11.0,56.5,19.0,58.5,78.0,114.5,490.0,311.0,182.0,197.0,101.0,0.0,"POLYGON ((2.289832 48.837072, 2.289553 48.83886, 2.292265 48.839048, 2.292543 48.83726, 2.289832 48.837072))",891fb467607ffff
CRS3035RES200mN2887600E3756000,1521.5,860.0,101.0,484.0,20.0,380.0,46.0,57735528.7,41358.0,857.0,3.0,538.0,203.0,67.0,52.0,0.0,7.0,80.0,29.0,52.0,60.5,113.0,471.0,262.0,163.0,199.0,92.0,0.0,"POLYGON ((2.290111 48.835284, 2.289832 48.837072, 2.292543 48.83726, 2.292822 48.835472, 2.290111 48.835284))",891fb46760fffff
CRS3035RES200mN2887600E3756200,1628.5,890.0,83.0,475.0,29.0,187.0,57.0,67615394.0,47053.0,889.0,1.0,525.0,149.0,177.0,39.0,0.0,1.0,65.0,29.0,70.0,89.0,134.5,467.0,342.0,169.0,162.0,101.0,0.0,"POLYGON ((2.292822 48.835472, 2.292543 48.83726, 2.295255 48.837448, 2.295533 48.83566, 2.292822 48.835472))",891fb46763bffff
CRS3035RES200mN2887600E3756400,1531.5,901.0,105.0,517.0,18.0,370.0,54.0,59024979.7,46798.0,885.0,16.0,509.0,41.0,115.0,236.0,0.0,38.0,55.0,17.0,42.5,74.0,99.0,450.0,281.0,184.0,221.0,108.0,0.0,"POLYGON ((2.295533 48.83566, 2.295255 48.837448, 2.297966 48.837636, 2.298245 48.835848, 2.295533 48.83566))",891fb467623ffff
CRS3035RES200mN2887800E3756400,1387.0,706.0,66.0,342.0,29.0,336.0,36.0,60903228.4,40476.0,690.0,16.0,566.0,8.0,78.0,54.0,0.0,0.0,62.5,41.5,65.0,85.0,89.0,372.0,262.0,145.0,181.0,84.0,0.0,"POLYGON ((2.295255 48.837448, 2.294976 48.839236, 2.297688 48.839423, 2.297966 48.837636, 2.295255 48.837448))",891fb467633ffff
CRS3035RES200mN2888000E3756400,1323.0,701.0,62.0,366.0,37.0,261.0,50.0,56855268.3,39189.0,694.0,7.0,360.0,56.0,86.0,199.0,0.0,39.0,55.0,27.0,55.5,94.0,94.0,372.5,274.0,146.0,153.0,52.0,0.0,"POLYGON ((2.294976 48.839236, 2.294697 48.841023, 2.297409 48.841211, 2.297688 48.839423, 2.294976 48.839236))",891fb4676afffff
CRS3035RES200mN2887800E3756600,1620.0,859.0,94.0,448.0,33.0,347.0,53.0,65585262.8,47183.0,850.0,9.0,626.0,158.0,33.0,42.0,0.0,0.0,71.5,43.0,60.0,86.5,118.0,487.0,301.0,173.0,200.0,80.0,0.0,"POLYGON ((2.297966 48.837636, 2.297688 48.839423, 2.300399 48.839611, 2.300678 48.837823, 2.297966 48.837636))",891fb467637ffff
CRS3035RES200mN2888000E3756600,1724.0,929.0,95.0,484.0,26.0,378.0,62.0,73570267.2,50352.0,920.0,9.0,768.0,37.0,24.0,100.0,0.0,22.0,84.5,23.5,78.0,97.0,126.0,532.0,337.0,158.0,192.0,96.0,0.0,"POLYGON ((2.297688 48.839423, 2.297409 48.841211, 2.300121 48.841399, 2.300399 48.839611, 2.297688 48.839423))",891fb4676afffff
CRS3035RES200mN2888000E3756800,1293.0,681.0,66.0,350.0,33.0,300.0,43.0,55450387.1,39702.0,675.0,6.0,462.0,100.0,24.0,95.0,0.0,45.0,44.0,18.0,50.5,89.0,104.5,340.0,243.0,146.0,181.0,77.0,0.0,"POLYGON ((2.300399 48.839611, 2.300121 48.841399, 2.302833 48.841587, 2.303111 48.839799, 2.300399 48.839611))",891fb4670dbffff
CRS3035RES200mN2887800E3756800,1062.0,620.0,58.0,364.0,21.0,257.0,37.0,41880991.8,34566.0,609.0,11.0,295.0,93.0,174.0,58.0,0.0,120.0,41.0,16.0,29.0,59.0,64.0,272.0,187.0,158.0,167.0,69.0,0.0,"POLYGON ((2.300678 48.837823, 2.300399 48.839611, 2.303111 48.839799, 2.303389 48.838011, 2.300678 48.837823))",891fb467637ffff
CRS3035RES200mN2887600E3756600,1682.0,977.0,118.0,550.0,24.0,362.0,60.0,66274834.4,50301.0,963.0,14.0,525.0,145.0,102.0,205.0,0.0,33.0,60.0,22.5,68.5,80.0,110.0,515.0,353.0,182.0,206.0,84.0,1.0,"POLYGON ((2.298245 48.835848, 2.297966 48.837636, 2.300678 48.837823, 2.300956 48.836036, 2.298245 48.835848))",891fb467623ffff
